name,birthday,title,character_name,character_year,characterage,character_gender,love_interest,release_date,actor_age
Eliza Taylor,24-10-1989,The 100,Clarke Griffin,,17,F,Finn Collins,19-03-2014,24
Thomas McDonell,02-05-1986,The 100,Finn Collins,,17,M,"Clarke Griffin, Raven Rayes",19-03-2014,27
Eli Goree,,The 100,Wells Jaha,,17,M,,19-03-2014,
Marie Avgeropoulos,17-06-1986,The 100,Octavia Blake,,17,F,Lincoln,19-03-2014,27
Bob Morley,20-12-1984,The 100,Bellamy Blake,,23,M,,19-03-2014,29
Christopher Larkin,02-10-1987,The 100,Monty Green,,16,M,,19-03-2014,26
Devon Bostick,13-11-1991,The 100,Jasper Jordan,,16,M,,19-03-2014,22
Lindsey Morgan,27-02-1990,The 100,Raven Reyes,,19,F,Finn Collins,19-03-2014,24
Richard Harmon,18-08-1991,The 100,John Murphy,,17,M,,19-03-2014,22
Ricky Whittle,31-12-1981,The 100,Lincoln,,25,M,Octavia Blake,19-03-2014,32
Jarod Joseph,09-10-1985,The 100,Nathan Miller,,18,M,,19-03-2014,28
Victor Zinck Jr.,,The 100,Dax,,17,M,,19-03-2014,
Kathryn Newton,08-02-1997,The Society,Allie Pressman,,17,F,"Will LeClair, Harry Bingham",10-05-2019,22
Rachel Keller,25-12-1992,The Society,Cassandra Pressman,,18,F,,10-05-2019,26
Jacques Colimon,27-08-1994,The Society,Will LeClair,,17,M,"Kelly Aldrich, Allie Pressman",10-05-2019,24
Alex Fitzalan,26-04-1996,The Society,Harry Bingham,,17,M,,10-05-2019,23
Kristine Froseth,21-09-1995,The Society,Kelly Aldrich,,17,F,"Harry Bingham, Will LeClair",10-05-2019,23
Gideon Adlon,30-03-1997,The Society,Becca Gelb,,17,F,,10-05-2019,22
Olivia DeJonge,30-04-1998,The Society,Elle Tomkins,,17,F,Campbell Eliot,10-05-2019,21
Toby Wallace,07-06-1996,The Society,Campbell Eliot,,18,M,Elle Tomkins,10-05-2019,22
José Julián,,The Society,Gordie Moreno,,17,M,,10-05-2019,
Jack Mulhern,,The Society,"Gareth ""Grizz"" Visser",,17,M,Sam Eliot,10-05-2019,
Olivia Nikkanen,28-11-1998,The Society,Gwen Patterson,,17,F,Clark,10-05-2019,20
Natasha Liu Bordizzo,25-08-1994,The Society,Helena Wu,,17,F,Luke Holbrook,10-05-2019,24
Alex MacNicoll,,The Society,Luke Holbrook,,18,M,Helena Wu,10-05-2019,
Sean Berdy,03-06-1993,The Society,Sam Eliot,,17,M,"Gareth ""Grizz"" Visser",10-05-2019,25
KJ Apa,17-06-1997,Riverdale,Archie Andrews,,18,M,,26-01-2017,19
Lili Reinhart,13-09-1996,Riverdale,Betty Cooper,,18,F,Jughead Jones,26-01-2017,20
Camila Mendes,29-06-1994,Riverdale,Veronica Lodge,,18,F,,26-01-2017,22
Cole Sprouse,04-08-1992,Riverdale,Jughead Jones,,18,M,Betty Cooper,26-01-2017,24
Madelaine Petsch,18-08-1994,Riverdale,Cheryl Blossom,,19,F,,26-01-2017,22
Dylan Minnette,29-12-1996,13 Reasons Why,Clay Jensen,,16,M,,21-03-2017,20
Katherine Langford,28-04-1996,13 Reasons Why,Hannah Baker,,17,F,,21-03-2017,20
Christian Navarro,21-08-1991,13 Reasons Why,Tony Padilla,,17,M,,21-03-2017,25
Alisha Boe,06-03-1997,13 Reasons Why,Jessica Davis,,16,F,"Justin Foley, Alex Baker",21-03-2017,20
Brandon Flynn,11-10-1993,13 Reasons Why,Justin Foley,,16,M,Jessica Davis,21-03-2017,23
Justin Prentice,25-03-1994,13 Reasons Why,Bryce Walker,hs senior,18,M,,21-03-2017,22
Miles Heizer,16-05-1994,13 Reasons Why,Alex Standall,,17,M,"Jessica Davis, Zach Dempsey",21-03-2017,22
Ross Butler,17-05-1990,13 Reasons Why,Zach Dempsey,,17,M,"Hannah Baker, Alex Standall",21-03-2017,26
Devin Druid,27-01-1998,13 Reasons Why,Tyler Down,,16,M,,21-03-2017,19
Saoirse-Monica Jackson,24-11-1993,Derry Girls,Erin Quinn,5th Year,,F,,21-03-2017,23
Louisa Harlond,31-01-1993,Derry Girls,Orla McCool,,15,F,,21-03-2017,24
Jamie Lee O'Donnell,04-03-1987,Derry Girls,Michelle Mallon,5th Year,,F,,21-03-2017,30
Nicola Coughlan,09-01-1987,Derry Girls,Clare Devlin,5th Year,,F,,21-03-2017,30
Dylan Llewellyn,10-09-1992,Derry Girls,James Maguire,5th Year,,M,,21-03-2017,24
Blake Lively,25-08-1987,Gossip Girl,Serena van der Woodsen,,16,F,"Dan Humphrey, Nate Archibald",19-09-2007,20
Leighton Meester,09-04-1986,Gossip Girl,Blair Waldorf,,16,F,"Nate Archibald, Chuck Bass",19-09-2007,21
Penn Badgley,01-11-1986,Gossip Girl,Dan Humphrey,,16,M,Serena van der Woodsen,19-09-2007,20
Chace Crawford,18-07-1985,Gossip Girl,Nate Archibald,,16,M,"Blair Waldorf, Serena van der Woodsen",19-09-2007,22
Ed Westwick,27-06-1987,Gossip Girl,Chuck Bass,,16,M,"Blair Waldorf, Jenny Humphrey",19-09-2007,20
Taylor Momsen,26-07-1993,Gossip Girl,Jenny Humphrey,,14,F,"Nate Archibald, Chuck Bass",19-09-2007,14
Jessica Szohr,31-03-1985,Gossip Girl,Vanessa Abrams,,16,F,"Nate Archibald, Dan Humphrey",19-09-2007,22
Emily Alyn Lynd,06-05-2001,Gossip Girl Revival,Audrey Hope,,16,F,"Akeno ""Aki"" Menzies",08-07-2021,20
Jordan Alexander,27-07-1993,Gossip Girl Revival,Julien Calloway,hs junior,,F,"Otto ""Obie"" Bergmann IV",08-07-2021,27
Thomas Doherty,21-04-1995,Gossip Girl Revival,Max Wolfe,,17,M,,08-07-2021,26
Savannah Smith,27-07-2000,Gossip Girl Revival,Monet de Haan,,16,F,,08-07-2021,20
Evan Mock,08-04-1997,Gossip Girl Revival,"Akeno ""Aki"" Menzies",,16,M,Audrey Hope,08-07-2021,24
Zion Moreno,23-02-1995,Gossip Girl Revival,Luna La,,16,F,,08-07-2021,26
Whitney Peak,28-01-2003,Gossip Girl Revival,Zoya Lott,,15,F,"Otto ""Obie"" Bergmann IV",08-07-2021,18
Eli Brown,13-08-1999,Gossip Girl Revival,"Otto ""Obie"" Bergmann IV",,16,M,"Zoya Lott, Julien Calloway",08-07-2021,21
Mia Healey,,The Wilds,Shelby Goodkind,,17,F,Toni Shalifoe,11-12-2020,
Helena Howard,23-07-1998,The Wilds,Nora Reid,,17,F,,11-12-2020,22
Erana James,17-02-1999,The Wilds,Toni Shalifoe,,17,F,,11-12-2020,21
Sarah Pidgeon,,The Wilds,Leah Rilke,,17,F,,11-12-2020,
Jenna Clause,20-02-1999,The Wilds,Martha Blackburn,,16,F,,11-12-2020,21
Sophia Ali,07-11-1995,The Wilds,Fatin Jadmani,,17,F,,11-12-2020,25
Shannon Berry,,The Wilds,Dot Campbell,,17,F,,11-12-2020,
Reign Edwards,01-12-1996,The Wilds,Rachel Reid,,17,F,,11-12-2020,24
Chase Stokes,16-09-1992,Outer Banks,"John Booker ""John B"" Routledge",,17,M,,15-04-2020,27
Madelyn Cline,21-12-1997,Outer Banks,Sarah Cameron,,16,F,,15-04-2020,22
Madison Bailey,29-01-1999,Outer Banks,"Kiara ""Kie"" Carrera",,16,F,Pope Heyward,15-04-2020,21
Jonathan Daviss,28-02-1999,Outer Banks,Pope Heyward,,16,M,"Kiara ""Kie"" Carrera",15-04-2020,21
Rudy Pankow,12-08-1998,Outer Banks,JJ Maybank,,16,M,,15-04-2020,21
Austin North,30-07-1996,Outer Banks,Topper Thornton,,18,M,,15-04-2020,23
Drew Starkey,04-11-1993,Outer Banks,Rafe Cameron,,19,M,,15-04-2020,26
Diego Tinoco,25-11-1997,On My Block,Cesar Diaz,,14,M,,16-03-2018,20
Brett Gray,07-08-1996,On My Block,Jamal Turner,,14,M,,16-03-2018,21
Sierra Capri,08-09-1998,On My Block,Monse Finnie,,14,F,,16-03-2018,19
Jason Genao,03-07-1996,On My Block,"Ruben ""Ruby"" Martinez",,14,M,,16-03-2018,21
Jessica Marie Garcia,23-03-1987,On My Block,Jasmine Flores,,14,F,,16-03-2018,30
Maitreyi Ramakrishnan,28-12-2001,Never Have I Ever,Devi Vishwakumar,hs sophomore,,F,"Paxton Hall-Yoshida, Benjamin ""Ben"" Gross",27-04-2020,18
Darren Barnet,27-04-1991,Never Have I Ever,Paxton Hall-Yoshida,hs junior,,M,Devi Vishwakumar,27-04-2020,29
Jaren Lewison,09-12-2000,Never Have I Ever,"Benjamin ""Ben"" Gross",hs sophomore,,M,Devi Vishwakumar,27-04-2020,19
Lee Rodriguez,28-11-1999,Never Have I Ever,Fabiola Torres,hs sophomore,,F,Eve Hjelm,27-04-2020,20
Ramona Young,23-05-1998,Never Have I Ever,Eleanor Wong,hs sophomore,,F,Oliver Martinez,27-04-2020,21
Benjamin Norris,,Never Have I Ever,Trent Harrison,hs junior,,M,,27-04-2020,
Christina Kartchner,04-11-1994,Never Have I Ever,Eve Hjelm,hs sophomore,,F,Fabiola Torres,27-04-2020,25
Virginia Gardner,18-04-1995,Runaways,Karolina Dean,,16,F,,21-11-2017,22
Lyrica Okano,09-11-1994,Runaways,Nico Minoru,,16,F,,21-11-2017,23
Ariela Barer,14-10-1998,Runaways,Gert Yorkes,,16,F,,21-11-2017,19
Allegra Acosta,12-12-2002,Runaways,Molly Hayes Hernandez,,15,F,,21-11-2017,14
Rhenzy Feliz,26-10-1997,Runaways,Alex Wilder,,17,M,,21-11-2017,20
Gregg Sulkin,29-05-1992,Runaways,Chase Stein,,17,M,,21-11-2017,25
Daniel Ezra,15-12-1991,All American,Spencer James,,17,M,"Kia Williams, Layla Keating, Olivia Baker",10-10-2018,26
Bre-Z,22-07-1987,All American,"Tamia ""Coop"" Cooper",,17,F,Patience Roberts,10-10-2018,31
Greta Onieogou,14-03-1991,All American,Layla Keating,,17,F,"Spencer James, Asher Adams",10-10-2018,27
Samantha Logan,27-10-1996,All American,Olivia Baker,,17,F,"Spencer James, Asher Adams",10-10-2018,21
Michael Evans Behling,06-05-1996,All American,Jordan Baker,,17,M,,10-10-2018,22
Cody Christian,15-04-1995,All American,Asher Adams,,17,M,"Layla Keating, Olivia Baker",10-10-2018,23
Zendaya,01-09-1996,Euphoria,Rue Bennett,,17,F,,16-06-2019,22
Hunter Schafer,31-12-1998,Euphoria,Jules,,17,F,,16-06-2019,20
Jacob Elordi,26-06-1997,Euphoria,Nate Jacobs,,17,M,Maddy Perez,16-06-2019,21
Algee Smith,07-11-1994,Euphoria,Chris McKay,,17,M,Cassie Howard,16-06-2019,24
Alexa Demie,11-12-1990,Euphoria,Maddy Perez,,17,F,Nate Jacobs,16-06-2019,28
Maude Apatow,15-12-1997,Euphoria,Lexi Howard,,16,F,,16-06-2019,21
Sydney Sweeney,12-09-1997,Euphoria,Cassie Howard,,17,F,Chris McKay,16-06-2019,21
Barbie Ferreira,14-12-1996,Euphoria,"Katherine ""Kat"" Hernandez",,17,F,"Daniel, Ethan",16-06-2019,22
Storm Reid,01-07-2003,Euphoria,Gia Bennett,,15,F,,16-06-2019,15
Chad Michael Murray,24-08-1981,One Tree Hill,Lucas Scott,,15,M,"Peyton Sawyer, Lindsey Strauss, Brooke Davis, Anna Taggaro, Nicki",23-09-2003,22
James Lafferty,25-07-1985,One Tree Hill,Nathan Scott,,15,M,"Haley James, Peyton Sawyer, Taylor James",23-09-2003,18
Hilarie Burton,01-07-1982,One Tree Hill,Peyton Sawyer,,15,F,"Lucas Scott, Nathan Scott, Julian Baker, Anna Taggaro, Jake Jagielski",23-09-2003,21
Bethany Joy Lenz,02-04-1981,One Tree Hill,Haley James,,15,F,Nathan Scott,23-09-2003,22
Sophia Bush,08-07-1982,One Tree Hill,Brooke Davis,,15,F,"Julian Baker, Lucas Scott, Owen Morello, Peyton Sawyer, Chase Adams, Nick Chavez",23-09-2003,21
Benjamin McKenzie,12-09-1978,The O.C.,Ryan Atwood,hs sophomore,,M,"Taylor Townsend, Marissa Cooper",05-08-2003,24
Adam Brody,15-12-1979,The O.C.,Seth Cohen,hs sophomore,,M,"Summer Roberts, Anna Stern",05-08-2003,23
Mischa Barton,24-01-1986,The O.C.,Marissa Cooper,hs sophomore,,F,"Kevin Volchok, Alex Kelly, Ryan Atwood, Luke Ward",05-08-2003,17
Rachel Bilson,25-08-1981,The O.C.,Summer Roberts,hs sophomore,,F,Seth Cohen,05-08-2003,21
Chris Carmack,22-12-1980,The O.C.,Luke Ward,hs sophomore,,M,Marissa Cooper,05-08-2003,22
Michael Cimino,10-11-1999,"Love, Victor",Victor Salazar,hs sophomore,,M,"Mia Brooks, Benji",17-06-2020,20
Rachel Naomi Hilson,30-10-1995,"Love, Victor",Mia Brooks,hs sophomore,,F,"Victor Salazar, Andrew Spencer",17-06-2020,24
Anthony Turpel,26-01-2000,"Love, Victor",Felix Weston,hs sophomore,,M,Lake Meriwether,17-06-2020,20
Bebe Wood,08-08-2001,"Love, Victor",Lake Meriwether,hs sophomore,,F,Felix Weston,17-06-2020,18
Mason Gooding,14-11-1996,"Love, Victor",Andrew Spencer,hs sophomore,,M,Mia Brooks,17-06-2020,23
George Sear,14-11-1997,"Love, Victor",Benji Campbell,,17,M,Victor Salazar,17-06-2020,22
Isabella Ferreira,20-12-2002,"Love, Victor",Pilar Salazar,hs freshman,,F,,17-06-2020,17
Brianna Hildebrand,14-08-1996,Trinkets,Elodie Davis,,16,F,,14-06-2019,22
Kiana Medeira,04-11-1992,Trinkets,"Maureen ""Moe"" Truax",,16,F,Noah Simos,14-06-2019,26
Quintessa Swindell,08-02-1997,Trinkets,Tabitha Foster,,16,F,"Brady Finch, Luca Novak",14-06-2019,22
Brandon Butler,11-09-1996,Trinkets,Brady Finch,,17,M,Tabitha Foster,14-06-2019,22
Odiseas Georgiadis,21-09-1996,Trinkets,Noah Simos,,16,M,"Maureen ""Moe"" Truax",14-06-2019,22
Troian Bellisario,28-10-1985,Pretty Little Liars,Spencer Hastings,,16,F,"Alex Santiago, Toby Cavanaugh",08-06-2010,24
Ashley Benson,18-12-1989,Pretty Little Liars,Hanna Marin,,16,F,"Caleb Rivers, Sean Ackard, Travis Hobbs",08-06-2010,20
Lucy Hale,14-06-1989,Pretty Little Liars,Aria Montgomery,,17,F,"Ezra Fitz, Noel Kahn, Jake, Jason DiLaurentis",08-06-2010,20
Shay Mitchell,10-04-1987,Pretty Little Liars,Emily Fields,,16,F,"Maya St. Germain, Alison DiLaurentis",08-06-2010,23
Ian Harding,16-09-1986,Pretty Little Liars,Ezra Fitz,,21,M,Aria Montgomery,08-06-2010,23
Sasha Pieterse,17-02-1996,Pretty Little Liars,Alison DiLaurentis,,16,F,"Emily Fields, Ezra Fitz",08-06-2010,14
Bianca Lawson,20-03-1979,Pretty Little Liars,Maya St. Germain,,17,F,Emily Fields,08-06-2010,31
Jackson Robert Scott,18-09-2008,Locke & Key,Bode Locke,,10,M,,07-02-2020,11
Connor Jessup,23-06-1994,Locke & Key,Tyler Locke,,17,M,Jackie Veda,07-02-2020,25
Emilia Jones,23-02-2002,Locke & Key,Kinsey Locke,hs sophomore,,F,"Gabe, Scot Cavendish",07-02-2020,17
Griffin Gluck,24-08-2000,Locke & Key,Gabe,hs sophomore,,M,Kinsey Locke,07-02-2020,19
Petrice Jones,10-05-1993,Locke & Key,Scot Cavendish,hs junior,,M,Kinsey Locke,07-02-2020,26
Genevieve Kang,,Locke & Key,Jackie Veda,,17,F,Tyler Locke,07-02-2020,
Thomas Mitchell Barnet,,Locke & Key,Sam Lesser,hs junior,,M,,07-02-2020,
Kevin Alves,19-10-1991,Locke & Key,Javi,hs junior,,M,,07-02-2020,28
Asha Bromfield,09-11-1994,Locke & Key,Zadie Wells,hs junior,,F,,07-02-2020,25
Felix Mallard,20-04-1998,Locke & Key,Lucas Caravaggio,,17,M,,07-02-2020,21
Hallea Jones,,Locke & Key,Eden Hawkins,hs junior,,F,,07-02-2020,
